Arrived	Location	Type and Price	Details
Apr 22 2018	Azalea Campground
Hume, California	National Park
$18	
Apr 17 2018	Horse Creek Campground
Lemon Cove, California	Army Corps of Engineers
$20	
Apr 14 2018	Three Rivers Campground
Three Rivers, California	State Park
$45	
Apr 11 2018	Paradise Cove
Lake Isabella, California	National Forest
$28	
Mar 31 2018	Auxiliary Dam Campground
Lake Isabella, California	National Forest Boondocking
$0	
Mar 30 2018	Castaic Lake
Castaic, California	State Park
$20	
Mar 15 2018	Camarillo AirBnB
Camarillo, California	House Rental
$83	
Mar 11 2018	Thronhill Broome State Beach
Malibu, California	State Park
$35	
Mar 5 2018	Doheny State Beach
Dana Point, California	State Park
$40	
Mar 1 2018	San Clemente State Beach
San Clemente, California	State Park
$65	
Feb 25 2018	South Carlsbad State Beach
Carlsbad, California	State Park
$50	
Feb 17 2018	Surf and Turf RV Park
Del Mar, California	Private RV Park
$32	
Feb 16 2018	Viejas Casino
Alpine, California	Parking Lot
$0	
Feb 11 2018	American Girl Mine Rd
Winterhaven, California	BLM Boondocking
$0	
Feb 4 2018	Twin Peaks Campground - Organ Pipe
Ajo, Arizona	National Park
$16	
Jan 28 2018	Darby Well Rd
Ajo, Arizona	BLM Boondocking
$0	
Jan 14 2018	Lost Dutchman State Park
Apache Junction, Arizona	State Park
$20	
Dec 30 2017	Palm Canyon Rd
Yuma, Arizona	BLM Boondocking
$0	
Dec 29 2017	Dome Rock Rd
Quartzsite, Arizona	BLM Boondocking
$0	
Dec 28 2017	Eureka Casino Resort
Mesquite, Nevada	Parking Lot
$0	
Dec 8 2017	Storage
St. George, Utah	Parking Lot
$5	
Dec 3 2017	Temple View RV Resort
St. George, Utah	Private RV Park
$36	
Nov 26 2017	Sand Hollow State Park
Hurricane, Utah	State Park
$27	
Nov 18 2017	Watchman Campground
Hurricane, Utah	National Park
$30	
Nov 5 2017	Sheep Bridge Rd
La Verkin, Utah	BLM Boondocking
$0	
Nov 4 2017	Walmart
Washington, Utah	Parking Lot
$0	
Nov 3 2017	Forest Rd 225
North Rim, Arizona	National Forest Boondocking
$0	
Oct 29 2017	Lee's Ferry Campground
Marble Canyon, Arizona	National Park
$20	
Oct 28 2017	Lone Rock Beach
Page, Utah	National Park
$14	
Oct 22 2017	Twin Hollow
Kane County, Utah	BLM Boondocking
$0	
Oct 15 2017	Rubys RV Park
Bryce, Utah	Private RV Park
$32	
Oct 7 2017	Hole in the Rock
Escalante, Utah	BLM Boondocking
$0	
Oct 6 2017	Burr Trail Rd
Boulder, Utah	BLM Boondocking
$0	
Oct 1 2017	Beas Lewis Flat
Torrey, Utah	BLM Boondocking
$0	
Sep 29 2017	San Rafael Swell
Emery County, Utah	BLM Boondocking
$0	
Sep 24 2017	Wedge Overlook Campsite #2
Emery County, Utah	BLM Boondocking
$0	
Sep 17 2017	Jordanelle State Park
Heber City, Utah	State Park
$30	
Sep 10 2017	Spruces Campground
Salt Lake City, Utah	National Forest
$23	
Sep 9 2017	Burley Walmart
Heyburn, Idaho	Parking Lot
$0	
Sep 2 2017	Boise Riverside RV Park
Garden City, Idaho	Private RV Park
$0	
Aug 25 2017	Stanley Boondocking 2
Stanley, Idaho	National Forest Boondocking
$0	
Aug 5 2017	Stanley Boondocking 1
Stanley, Idaho	National Forest Boondocking
$0	
Jul 27 2017	Lake Creek Road
Hailey, Idaho	National Forest Boondocking
$0	
Jul 23 2017	Boundry Campground
Hailey, Idaho	National Forest
$10	
Jul 22 2017	Lava Flow Campground
Arco, Idaho	National Park
$15	
Jul 4 2017	Teton Canyon Rd
Moose, Wyoming	National Forest Boondocking
$0	
Jun 25 2017	National Forest Rd 281
Irwin, Idaho	National Forest Boondocking
$0	
Jun 24 2017	12th St
Evanston, Wyoming	Parking Lot
$0	
Jun 18 2017	Sweetwater Event Complex
Rock Springs, Wyoming	County Park
$25	
Jun 11 2017	Forest Rd 296
Steamboat Springs, Colorado	National Forest Boondocking
$0	
Jun 4 2017	Stillwater Campground
Granby, Colorado	National Forest
$24	
May 27 2017	Friends House
Idaho Springs, Colorado	Private Residence
$0	
May 21 2017	Clear Creek RV Park
Golden, Colorado	City Park
$40	
May 20 2017	Arbys
Limon, Colorado	Parking Lot
$0	
May 19 2017	Walmart
Junction City, Kansas	Parking Lot
$0	
May 14 2017	Private Residence
Baldwin City, Kansas	Private Residence
$0	
May 12 2017	Hawker Point Campground
Stockton, Missouri	Army Corps of Engineers
$14	
May 6 2017	Ozark Highlands
Springfield, Missouri	Private RV Park
$40	
May 5 2017	Walmart
Pineville, Missouri	Parking Lot
$0	
May 4 2017	Vine Prairie Park
Mulberry, Arkansas	City Park
$20	
Apr 30 2017	Petit Jean State Park
Morrilton, Arkansas	State Park
$20	
Apr 23 2017	Gulpha Gorge Campground
Hot Springs Township, Arkansas	National Park
$30	
Apr 22 2017	Walmart - McGehee
McGehee, Arkansas	Parking Lot
$0	
Apr 21 2017	Walmart - Monroeville
Monroeville, Alabama	Parking Lot
$0	
Apr 16 2017	Florida Caverns State Park
Marianna, Florida	State Park
$20	
Apr 15 2017	Lazydays RV Resort
Seffner, Florida	Private RV Park
$49	
Apr 9 2017	Hillsborough River State Park
Thonotosassa, Florida	State Park
$27	
Apr 8 2017	Cracker Barrel
Punta Gorda, Florida	Parking Lot
$0	
Apr 2 2017	Koreshan State Park
Estero, Florida	State Park
$26	
Apr 1 2017	Flamingo Campground
Homestead, Florida	National Park
$30	
Mar 31 2017	Home Depot
Florida City, Florida	Parking Lot
$0	
Jan 1 2017	House Rental
Big Pine Key, Florida	House Rental
$110	
Dec 18 2016	Bahia Honda State Park
Big Pine Key, Florida	State Park
$39	
Dec 17 2016	Miccosukee Casino
Miami, Florida	Parking Lot
$0	
Dec 11 2016	Dupuis Campground
Indiantown, Florida	State Forest Campground
$0	
Dec 10 2016	Juniper Springs
Astor, Florida	National Forest
$21	
Dec 4 2016	O'leno State Park
High Springs, Florida	State Park
$18	
Dec 3 2016	Walmart - Hazlehurst
Hazlehurst, Georgia	Parking Lot
$0	
Nov 27 2016	Camping World Racing Resort
Concord, North Carolina	Private RV Park
$25	
Nov 17 2016	Private Property
Hubert, North Carolina	Private Residence
$0	
Nov 13 2016	Flanners Beach Campground
New Bern, North Carolina	National Forest
$17	
Nov 6 2016	Westmoreland State Park
Montross, Virginia	State Park
$35	
Oct 30 2016	Lums Pond State Park
Bear, Delaware	State Park
$30	
Oct 27 2016	Northford Driveway
Northford, Connecticut	Private Residence
$0	
Oct 25 2016	Middletown Driveway
Middletown, Connecticut	Private Residence
$0	
Oct 24 2016	Mohegan Sun Casino
Montville, Connecticut	Parking Lot
$0	
Oct 16 2016	Fishermans Memorial Park
Narragansett, Rhode Island	State Park
$25	
Oct 15 2016	Walmart
Wareham, Massachusetts	Parking Lot
$0	
Oct 8 2016	Coastal Acres Campground
Provincetown, Massachusetts	Private RV Park
$52	
Oct 1 2016	Nickerson State Park
Brewster, Massachusetts	State Park
$27	
Sep 30 2016	Walmart
Wareham, Massachusetts	Parking Lot
$0	
Sep 29 2016	Cabelas
Hudson, Massachusetts	Parking Lot
$0	
Aug 12 2016	Cambridge Friends
Cambridge, Vermont	Private Residence
$0	
Aug 5 2016	Steele Hill Resort
Sanbornton, New Hampshire	Private RV Park
$0	
Aug 4 2016	Walmart
Auburn, Maine	Parking Lot
$0	
Jun 29 2016	Narrows Too Camping Resort
Trenton, Maine	Private RV Park
$37	
Jun 28 2016	Walmart
Skowhegan, Maine	Parking Lot
$0	
Jun 27 2016	Voyageurs Provincial Park
Chute-à-Blondeau, Ontario	State Park
$38	
Jun 26 2016	Walmart - Renfrew
Renfrew, Ontario	Parking Lot
$0	
Jun 25 2016	OLG Casino
Sault Ste. Marie, Ontario	Parking Lot
$0	
Jun 24 2016	Lake Superior Provincial Park
Algoma, Unorganized, North Part, Ontario	State Park
$32	
Jun 23 2016	Pukaskwa National Park
Unorganized Thunder Bay District, Ontario	National Park
$32	
Jun 22 2016	Neys Provincial Park
Marathon, Ontario	State Park
$28	
Jun 21 2016	Rainbow Falls Provincial Park
Rossport, Ontario	State Park
$32	
Jun 20 2016	Kakabeka Falls Provincial Park
Kakabeka Falls, Ontario	State Park
$32	
Jun 19 2016	Arnold's Campground
International Falls, Minnesota	Private RV Park
$32	
Jun 17 2016	Grassy Island South
Ray, Minnesota	National Park
$25	
Jun 12 2016	Wooden Frog Campground
