"arrived","campground","city","state","type","price","full_loc","lon","lat"
"2012-06-15","Chapin Rd","Essex","Vermont","Private",0,"Chapin Rd, Essex, Vermont",-73.0563493,44.5436667
"2012-06-16","Long Point State Park","Three Mile Bay","New York","State",30,"Long Point State Park, Three Mile Bay, New York",-76.2208328,44.0260266
"2012-06-18","Keuka Lake","Keuka Park","New York","State",26,"Keuka Lake, Keuka Park, New York",-77.0919056,42.6151357
"2012-06-22","Sampson State Park","Romulus","New York","State",30,"Sampson State Park, Romulus, New York",-76.9024564,42.7253526
"2012-06-24","Buckaloons Recreation Area","Irvine","Pennsylvania","Federal",23,"Buckaloons Recreation Area, Irvine, Pennsylvania",-79.2588579,41.8377472
"2012-06-27","Penn Wood Airstream Park","New Bethlehem","Pennsylvania","Private",20,"Penn Wood Airstream Park, New Bethlehem, Pennsylvania",-79.3332053,41.1295984
"2012-06-29","Mosquito Lake State Park","Cortland","Ohio","State",26,"Mosquito Lake State Park, Cortland, Ohio",-80.7688065,41.3029063
"2012-07-02","Cabelas","Dundee","Michigan","Private",0,"Cabelas, Dundee, Michigan",-83.6762443,41.9644132
"2012-07-03","A Driveway","Mount Clemens","Michigan","Private",0,"A Driveway, Mount Clemens, Michigan",-82.872079,42.608839
"2012-07-05","Claybanks Township Park","New Era","Michigan","OtherGov",20,"Claybanks Township Park, New Era, Michigan",-86.4853193,43.5309567
"2012-07-08","D H Day Campground","Empire","Michigan","Federal",12,"D H Day Campground, Empire, Michigan",-86.0215144,44.8996085
"2012-07-10","Brevoort Lake Campground","Moran","Michigan","Federal",18,"Brevoort Lake Campground, Moran, Michigan",-84.9196566,45.9961149
"2012-07-13","Little Bay Campground","Rapid River","Michigan","Federal",12,"Little Bay Campground, Rapid River, Michigan",-86.9787937,45.8410532
"2012-07-15","Memorial Park","Washburn","Wisconsin","OtherGov",22,"Memorial Park, Washburn, Wisconsin",-90.8801337,46.6762139
"2012-07-17","Indian Point Campground","Duluth","Minnesota","Private",33,"Indian Point Campground, Duluth, Minnesota",-92.1848823,46.7217837
"2012-07-20","Gooseberry Falls State Park","Two Harbors","Minnesota","State",22,"Gooseberry Falls State Park, Two Harbors, Minnesota",-91.4637178,47.1455222
"2012-07-22","Temperance River State Park","Schroeder","Minnesota","State",22,"Temperance River State Park, Schroeder, Minnesota",-90.871819,47.555824
"2012-07-24","Sandy Lake and Dam","McGregor","Minnesota","Federal",26,"Sandy Lake and Dam, McGregor, Minnesota",-93.308687,46.6068263
"2012-07-27","Lebanon Hills Park Campground","Saint Paul","Minnesota","OtherGov",25,"Lebanon Hills Park Campground, Saint Paul, Minnesota",-93.1807886,44.7737438
"2012-07-31","Arlington City Park","Arlington","South Dakota","OtherGov",5,"Arlington City Park, Arlington, South Dakota",-97.1344708,44.3598711
"2012-08-01","Badlands National Park","Interior","South Dakota","Federal",26,"Badlands National Park, Interior, South Dakota",-101.9396287,43.7339751
"2012-08-03","Bismark Lake Campground","Custer","South Dakota","Federal",24,"Bismark Lake Campground, Custer, South Dakota",-103.5127229,43.7753901
"2012-08-04","Riverside Park","Douglas","Wyoming","OtherGov",0,"Riverside Park, Douglas, Wyoming",-105.3921492,42.7627279
"2012-08-05","Longhorn RV & Motel","Dubois","Wyoming","Private",50,"Longhorn RV & Motel, Dubois, Wyoming",-95.4908499,32.6535348
"2012-08-07","Turpin Meadow Campground","Moran","Wyoming","Federal",10,"Turpin Meadow Campground, Moran, Wyoming",-110.2646365,43.855997
"2012-08-09","Signal Mountain Campground","Alta","Wyoming","Federal",21,"Signal Mountain Campground, Alta, Wyoming",-110.6136658,43.8411886
"2012-08-12","Grassy Lake Rd","Moran","Wyoming","Federal",0,"Grassy Lake Rd, Moran, Wyoming",-110.6719601,44.1107504
"2012-08-14","Indian Creak","Yellowstone National Park","Wyoming","Federal",15,"Indian Creak, Yellowstone National Park, Wyoming",-110.7370726,44.8847376
"2012-08-15","Rock Canyon RV Park","Livingston","Montana","Private",37,"Rock Canyon RV Park, Livingston, Montana",-110.576274,45.6102095
"2012-08-20","Lewis and Clark Cavern State Park","Whitehall","Montana","State",23,"Lewis and Clark Cavern State Park, Whitehall, Montana",-111.8626337,45.8339408
"2012-08-21","Stuart Mill Bay Campground","Anaconda","Montana","State",12,"Stuart Mill Bay Campground, Anaconda, Montana",-113.2722809,46.1763138
"2012-08-23","Walmart Supercenter","Missoula","Montana","Private",0,"Walmart Supercenter, Missoula, Montana",-114.0420449,46.8836971
"2012-08-24","Big Arm State Park","Big Arm","Montana","State",28,"Big Arm State Park, Big Arm, Montana",-114.3109664,47.8110406
"2012-08-26","Avalanche Campground, Glacier National Park","West Glacier","Montana","Federal",20,"Avalanche Campground, Glacier National Park, West Glacier, Montana",-113.9852778,48.5477778
"2012-08-29","Apgar Campground, Glacier National Park","West Glacier","Montana","Federal",20,"Apgar Campground, Glacier National Park, West Glacier, Montana",-113.983781,48.525165
"2012-08-31","Firemans Park Campground","Libby","Montana","OtherGov",5,"Firemans Park Campground, Libby, Montana",-115.5627602,48.3910483
"2012-09-01","Schweitzer Mountain Resort","Sandpoint","Idaho","Private",0,"Schweitzer Mountain Resort, Sandpoint, Idaho",-116.623398,48.367287
